timesteps,ep_rew_mean,ep_len_mean
1970752,1686.626220703125,966.6099853515625
1974848,1691.0611572265625,969.4000244140625
1978944,1698.6265869140625,969.4000244140625
1983040,1684.124755859375,961.760009765625
1987136,1691.861328125,961.760009765625
1991232,1714.606689453125,961.760009765625
1995328,1729.35986328125,969.5900268554688
1999424,1713.5252685546875,969.5900268554688
2003520,1715.162109375,969.5900268554688
2007616,1723.2061767578125,976.5999755859375
2011712,1726.072265625,977.0399780273438
2015808,1724.797119140625,975.3200073242188
2019904,1724.9708251953125,975.3200073242188
2024000,1746.6824951171875,975.3200073242188
2028096,1754.432373046875,979.5499877929688
2032192,1769.6243896484375,986.8300170898438
2036288,1767.5604248046875,986.8300170898438
2040384,1774.3040771484375,990.5900268554688
2044480,1772.99658203125,990.5900268554688
2048576,1773.6727294921875,990.5900268554688
2052672,1774.2977294921875,990.5800170898438
2056768,1779.9952392578125,990.5800170898438
2060864,1775.878662109375,990.5800170898438
2064960,1778.5240478515625,990.6300048828125
2069056,1781.728759765625,990.6300048828125
2073152,1763.2314453125,979.8699951171875
2077248,1763.2314453125,979.8699951171875
2081344,1773.3978271484375,987.510009765625
2085440,1773.3978271484375,987.510009765625
2089536,1775.1461181640625,987.510009765625
2093632,1775.1461181640625,987.510009765625
2097728,1794.460693359375,987.510009765625
2101824,1777.0826416015625,978.9000244140625
2105920,1784.3475341796875,978.9000244140625
2110016,1786.2825927734375,978.9000244140625
2114112,1789.742919921875,980.6199951171875
2118208,1790.7315673828125,980.6199951171875
2122304,1793.509033203125,980.6199951171875
2126400,1792.45068359375,980.6199951171875
2130496,1793.1639404296875,980.6199951171875
2134592,1794.2901611328125,979.6400146484375
2138688,1787.8692626953125,979.6400146484375
2142784,1791.2562255859375,979.6400146484375
2146880,1760.6043701171875,970.1799926757812
2150976,1755.626708984375,970.1799926757812
2155072,1748.78125,970.1799926757812
2159168,1752.858154296875,970.1799926757812
2163264,1753.547119140625,970.0999755859375
2167360,1750.985107421875,970.0999755859375
2171456,1759.7791748046875,973.7999877929688
2175552,1774.310302734375,980.8599853515625
2179648,1779.4141845703125,980.8599853515625
2183744,1781.8563232421875,980.8599853515625
2187840,1781.62060546875,980.8599853515625
2191936,1782.256103515625,980.8599853515625
2196032,1782.93310546875,980.8599853515625
2200128,1800.273681640625,989.469970703125
2204224,1798.1278076171875,989.469970703125
2208320,1799.6666259765625,989.469970703125
2212416,1800.861572265625,989.469970703125
2216512,1801.5994873046875,989.469970703125
2220608,1802.2838134765625,989.469970703125
2224704,1804.87548828125,989.469970703125
2228800,1805.1138916015625,989.469970703125
2232896,1808.1571044921875,990.4500122070312
2236992,1819.0657958984375,990.4500122070312
2241088,1818.532470703125,990.4500122070312
2245184,1833.1236572265625,990.4500122070312
2249280,1859.6868896484375,999.9199829101562
2253376,1860.21044921875,999.9199829101562
2257472,1868.682861328125,999.9199829101562
2261568,1855.4237060546875,993.0999755859375
2265664,1860.6600341796875,993.1799926757812
2269760,1861.2689208984375,993.1799926757812
2273856,1846.4713134765625,985.6900024414062
2277952,1832.91455078125,978.5499877929688
2282048,1833.4423828125,978.5499877929688
2286144,1824.76025390625,976.239990234375
2290240,1826.32568359375,976.239990234375
2294336,1827.897705078125,976.239990234375
2298432,1828.7322998046875,976.239990234375
2302528,1832.7947998046875,976.239990234375
2306624,1832.55029296875,976.239990234375
2310720,1832.53076171875,976.239990234375
2314816,1833.134521484375,976.239990234375
2318912,1835.9716796875,976.239990234375
2323008,1837.824951171875,976.239990234375
2327104,1822.0213623046875,967.5499877929688
2331200,1823.5709228515625,967.5499877929688
2335296,1825.072509765625,967.5499877929688
2339392,1827.3800048828125,967.5499877929688
2343488,1817.119873046875,962.260009765625
2347584,1817.14306640625,962.260009765625
2351680,1815.7728271484375,962.260009765625
2355776,1815.723876953125,962.260009765625
2359872,1806.5853271484375,959.3300170898438
2363968,1804.1119384765625,959.3300170898438
2368064,1811.4610595703125,966.8200073242188
2372160,1811.102783203125,966.8200073242188
2376256,1821.3416748046875,973.9600219726562
2380352,1817.0650634765625,973.9600219726562
2384448,1827.1458740234375,976.27001953125
2388544,1827.7969970703125,976.27001953125
2392640,1820.1822509765625,976.27001953125
2396736,1820.0330810546875,976.27001953125
2400832,1811.98876953125,976.27001953125
2404928,1812.0032958984375,976.27001953125
2409024,1811.6533203125,976.27001953125
2413120,1812.303466796875,976.27001953125
2417216,1802.97265625,976.27001953125
2421312,1801.8447265625,976.27001953125
2425408,1813.57275390625,984.9600219726562
2429504,1810.0777587890625,984.9600219726562
2433600,1800.846435546875,984.9600219726562
2437696,1796.51806640625,984.9600219726562
2441792,1805.684326171875,990.25
2445888,1783.8651123046875,980.77001953125
2449984,1786.7197265625,980.77001953125
2454080,1767.1878662109375,976.02001953125
2458176,1782.6007080078125,985.77001953125
2462272,1767.6845703125,976.2999877929688
2466368,1759.50048828125,976.2999877929688
2470464,1761.317138671875,976.2999877929688
2474560,1765.2100830078125,976.2999877929688
2478656,1755.28759765625,976.2999877929688
2482752,1756.2413330078125,976.2999877929688
2486848,1754.9210205078125,976.2999877929688
2490944,1763.4237060546875,976.2999877929688
2495040,1763.3839111328125,976.2999877929688
2499136,1772.604736328125,976.2999877929688
2503232,1764.42822265625,976.2999877929688
2507328,1764.1776123046875,976.2999877929688
2511424,1755.774169921875,976.2999877929688
2515520,1758.14013671875,976.2999877929688
2519616,1769.9537353515625,976.2999877929688
2523712,1766.3543701171875,976.2999877929688
2527808,1757.805419921875,971.4500122070312
2531904,1756.8682861328125,971.4500122070312
2536000,1749.07275390625,971.4500122070312
2540096,1753.0133056640625,971.4500122070312
2544192,1749.625244140625,971.239990234375
2548288,1749.8602294921875,971.239990234375
2552384,1776.578125,975.989990234375
2556480,1775.9564208984375,975.989990234375
2560576,1794.69287109375,979.6400146484375
2564672,1784.23095703125,973.989990234375
2568768,1784.494873046875,973.989990234375
2572864,1800.5029296875,973.989990234375
2576960,1800.8870849609375,973.989990234375
2581056,1798.7003173828125,973.989990234375
2585152,1799.4501953125,973.989990234375
2589248,1799.149658203125,973.989990234375
2593344,1799.3172607421875,973.989990234375
2597440,1799.3780517578125,973.989990234375
2601536,1809.676025390625,973.989990234375
2605632,1815.7769775390625,973.989990234375
2609728,1821.7703857421875,973.989990234375
2613824,1821.979736328125,973.989990234375
2617920,1822.140625,973.989990234375
2622016,1834.5162353515625,978.8400268554688
2626112,1838.997314453125,978.8400268554688
2630208,1839.698974609375,976.5800170898438
2634304,1856.5146484375,976.5800170898438
2638400,1856.4151611328125,976.5800170898438
2642496,1862.7154541015625,976.5800170898438
2646592,1882.4893798828125,986.27001953125
2650688,1882.31005859375,986.27001953125
2654784,1883.637939453125,986.27001953125
2658880,1880.44970703125,986.27001953125
2662976,1896.10888671875,997.739990234375
2667072,1898.3646240234375,997.739990234375
2671168,1898.0531005859375,997.739990234375
2675264,1895.4210205078125,997.739990234375
2679360,1896.072998046875,997.739990234375
2683456,1896.227783203125,996.77001953125
2687552,1893.6390380859375,996.77001953125
2691648,1894.640869140625,996.77001953125
2695744,1895.069091796875,996.77001953125
2699840,1895.2210693359375,996.77001953125
2703936,1883.50439453125,991.8099975585938
2708032,1873.63818359375,990.6799926757812
2712128,1873.2076416015625,990.6799926757812
2716224,1872.2359619140625,990.6799926757812
